eventDate,habitat,country,countryCode,stateProvince,county,municipality,locality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLatitude,verbatimLongitude,verbatimLongitude,verbatimCoordinateSystem,verbatimCoordinateSystem,verbatimSRS,footprintWKT,georeferencedBy,georeferencedDate,georeferenceSources,georeference_verification_status,georeferenceRemarks,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,taxonConceptID,scientificName,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,namePublishedIn,name_published_in_year,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,taxonomicStatus,nomenclaturalStatus,taxonRemarks,species,verbatimIdentificationQualifier,provenance,recordID,dcterms:accessRights,verbatimContinent,verbatimBasisOfRecord
2005-05-27,cultivada en el jardín,Spain,ES,València/Valencia,,València (Horta),"València (L´Horta), Jardín Botánico, C-3, 107-CA",12.0,12.0,,39.47,-0.39,EPSG:4326,707.0,,30SYJ2472,39.47,,-0.39,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,43099930-8ac6-4816-bde4-347296c032b2,,,PreservedSpecimen
1985-05-05,,Spain,ESP,,,,Sobremazas (Medio Cudeyo),,,,,,,,,,,,,,,,,,,,,,,c44d6dc2-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,3b8e9de5-632f-44ba-adec-0176a133a104,,,PreservedSpecimen
2012-05-23,,Spain,ES,,,,Catalunya,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,"Last label. Notes: Família: Ginkgoaceae. Nom comú: Ginkgo, Ginko",,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,268176de-8566-450c-9dfb-0e714af2cecf,,,PreservedSpecimen
1987-05-22,,Spain,,,,,"Granada, Jardín Botánico de la Facultad de Derecho.",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,0e09e394-18ef-47bd-9b8e-f9c9d1058421,,,PreservedSpecimen
1967-05-14,,France,FRA,,,,"Parc, Jardín Publico, Grasse",,,,,,,,,,,,,,,,,,,,,,,ab1f3a6e-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,0807a5ed-24bd-48c9-b10d-b84562d58df9,,,PreservedSpecimen
1900-07-30,,Spain,ESP,,,,Jardines de la Victoria,,,,,,,,,,,,,,,,,,,,,,,afc72c5f-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,eabe0197-7b95-43d4-bdd1-a80f0c38f4c3,,,PreservedSpecimen
1992-08-20,,Spain,ES,Alacant/Alicante,,,San Vicente del Raspeig,,,,38.4,-0.52,EPSG:4326,707.0,,30SYH1653,38.40,,-0.52,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,d3001eda-e48e-42e7-a03f-e27be2e10efa,,,PRESERVEDSPECIMEN
1990-08-26,Habitat: cultivado en  La Marga,Spain,ESP,,,,Santander,,,,43.4562,-3.8048,EPSG:4326,,,,43.4562,,-3.8048,,,,,,,,,,,c44d79ae-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,c7bea11b-9416-43ba-b714-a93ca3e8cbdd,,,PreservedSpecimen
1972-08-30,"Habitat: parque particular, cultivado",Spain,ESP,Cantabria,,,Hermosa (Medio Cudeyo),,,,43.3486,-3.7416,EPSG:4326,,,,43.3486,,-3.7416,,,,,,,,,,,c44d5ea8-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,411795fc-6d51-42c1-af73-641c711f5623,,,PreservedSpecimen
1982-08-15,,Spain,ES,,,València (Horta),"Jardí Botànic de València C-3, 10",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,0ce3fcc8-6e1f-4ac5-8f76-be8eef47e44b,,,PreservedSpecimen
1986-08-29,,France,fr,,,,Montpeller,,,,43.6,3.88,EPSG:4326,7338.0,,,43.60,,3.88,,,,,,,,,,,,Not provided,,"Vicens Fandos, Josep",,,2010,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,05efb34f-e511-4d3e-8ea9-e3544d2090d8,,,PreservedSpecimen
1972-12-03,,Spain,ESP,,,,Luzmela (Mazcuerras),,,,,,,,,,,,,,,,,,,,,,,c44d6914-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,67821240-b375-48b1-9e41-6f5c06cbe852,,,PreservedSpecimen
